iteration,n_objects,stage,n_threads,current_meshes,compute_cdt,compute_cat_cells,optimize_positions,process_iteration
4,8,5,1,1637.0,5956.0,1393663.0,693256.0,187667.0
5,8,5,1,1665.0,5810.0,1398347.0,684466.0,187027.0
6,8,5,1,1674.0,6314.0,1497551.0,680758.0,181696.0
7,8,5,1,1710.0,5973.0,1385623.0,670850.0,177035.0
8,8,5,1,1662.0,5958.0,1374394.0,679395.0,178828.0
9,8,5,1,1653.0,5771.0,1432506.0,672747.0,366951.0
0,8,6,1,1748.0,6955.0,1618539.0,738833.0,204880.0
1,8,6,1,1638.0,6895.0,1618608.0,703827.0,210116.0
2,8,6,1,1637.0,6811.0,1606023.0,822695.0,206597.0
3,8,6,1,1606.0,6863.0,1607196.0,798103.0,206523.0
4,8,6,1,1612.0,6799.0,1635979.0,705552.0,208752.0
5,8,6,1,2341.0,6711.0,1654231.0,725351.0,211181.0
6,8,6,1,1660.0,7036.0,1757158.0,734608.0,217020.0
7,8,6,1,1651.0,7109.0,1667026.0,757601.0,221333.0
8,8,6,1,1667.0,6887.0,1656166.0,746182.0,429822.0
9,8,6,1,1738.0,6821.0,1671660.0,767322.0,209174.0
0,8,7,1,1857.0,13647.0,3484468.0,1067082.0,407491.0
1,8,7,1,1659.0,13014.0,3559364.0,1104166.0,407645.0
2,8,7,1,1653.0,13203.0,3483431.0,1175009.0,405466.0
3,8,7,1,1735.0,13371.0,3406309.0,1053350.0,406136.0
4,8,7,1,1727.0,13148.0,3425748.0,1086886.0,394904.0
5,8,7,1,1622.0,13047.0,3506003.0,1102618.0,409857.0
6,8,7,1,1672.0,13375.0,3484471.0,1037660.0,411547.0
7,8,7,1,1637.0,13417.0,3520751.0,1163182.0,402982.0
8,8,7,1,1862.0,14482.0,3498561.0,1098667.0,406093.0
9,8,7,1,2017.0,13975.0,3472082.0,1026394.0,409589.0
0,8,8,1,1817.0,48038.0,11794948.0,2911460.0,1189369.0
1,8,8,1,1750.0,49522.0,11839253.0,2739788.0,1321983.0
2,8,8,1,1946.0,48174.0,12024382.0,2888083.0,1413184.0
3,8,8,1,1852.0,49754.0,12238254.0,2870148.0,1286421.0
4,8,8,1,2288.0,54186.0,12889717.0,2956027.0,1405072.0
5,8,8,1,2070.0,53189.0,12417016.0,2734744.0,1306316.0
6,8,8,1,2220.0,57913.0,12630132.0,2740981.0,1244073.0
7,8,8,1,1787.0,46589.0,12469895.0,3087505.0,1413191.0
8,8,8,1,2078.0,53574.0,12341838.0,2763156.0,1182440.0
9,8,8,1,2040.0,73175.0,13741531.0,3044806.0,1421469.0
0,16,0,1,3215.0,8051.0,1767838.0,925218.0,337773.0
1,16,0,1,2821.0,7039.0,1763890.0,887948.0,352280.0
2,16,0,1,3240.0,7151.0,1756410.0,843527.0,331144.0
3,16,0,1,2840.0,7142.0,1646413.0,847230.0,297124.0
4,16,0,1,2888.0,6940.0,1676657.0,826124.0,302168.0
5,16,0,1,3079.0,7030.0,1625134.0,843100.0,301954.0
6,16,0,1,3045.0,7708.0,1623827.0,782838.0,288331.0
7,16,0,1,3074.0,8169.0,1741210.0,759261.0,294386.0
8,16,0,1,3058.0,7283.0,1740407.0,1026571.0,5295635.0
9,16,0,1,3552.0,9810.0,1859408.0,850795.0,314871.0
0,16,1,1,3622.0,8919.0,2081793.0,994644.0,369747.0
1,16,1,1,3847.0,9036.0,1889826.0,952612.0,1199603.0
2,16,1,1,2835.0,7387.0,1777325.0,914907.0,327723.0
3,16,1,1,3086.0,8330.0,1979362.0,910228.0,353877.0
4,16,1,1,3329.0,8353.0,2064401.0,841550.0,314284.0
5,16,1,1,2926.0,8000.0,1800003.0,793458.0,304713.0
6,16,1,1,2835.0,7442.0,1728422.0,972758.0,306243.0
7,16,1,1,2878.0,7312.0,1678946.0,849126.0,317546.0
8,16,1,1,3163.0,7369.0,1723399.0,799264.0,310614.0
9,16,1,1,3293.0,9044.0,1797415.0,802174.0,302367.0
0,16,2,1,2832.0,7621.0,1790303.0,804161.0,359970.0
1,16,2,1,2817.0,7567.0,1825052.0,875553.0,358626.0
2,16,2,1,3115.0,7672.0,1810602.0,873343.0,320263.0
3,16,2,1,3015.0,8383.0,1876201.0,866067.0,354204.0
4,16,2,1,3021.0,7865.0,2001959.0,1106722.0,396987.0
5,16,2,1,3207.0,8530.0,2038546.0,1088261.0,351245.0
6,16,2,1,2930.0,7604.0,1883530.0,983765.0,356243.0
7,16,2,1,3156.0,8893.0,1877646.0,1039193.0,359514.0
8,16,2,1,2925.0,8067.0,2085216.0,1047404.0,373032.0
9,16,2,1,3168.0,8825.0,2114261.0,1072897.0,420624.0
0,16,3,1,2955.0,13441.0,3900280.0,1104601.0,574299.0
1,16,3,1,2886.0,12914.0,3704647.0,1220657.0,662480.0
2,16,3,1,3000.0,12891.0,3414766.0,1089844.0,601643.0
3,16,3,1,2881.0,12884.0,3409540.0,1112803.0,557751.0
4,16,3,1,3065.0,13175.0,3379883.0,1023724.0,584066.0
5,16,3,1,3118.0,13408.0,3594660.0,1217199.0,629015.0
6,16,3,1,3544.0,15421.0,3964276.0,1068964.0,571925.0
7,16,3,1,2986.0,13199.0,3990959.0,1192360.0,575365.0
8,16,3,1,2992.0,13379.0,3678757.0,1205157.0,574337.0
9,16,3,1,3149.0,14803.0,3689990.0,1295095.0,667266.0
0,16,4,1,4601.0,16574.0,4145472.0,1229310.0,653752.0
1,16,4,1,2955.0,13434.0,4032144.0,1444351.0,749680.0
2,16,4,1,3662.0,16597.0,3944967.0,1300686.0,735357.0
3,16,4,1,3615.0,16693.0,4144438.0,1382483.0,656820.0
4,16,4,1,3368.0,16060.0,3941936.0,1274508.0,645185.0
5,16,4,1,4056.0,15991.0,3769266.0,1324893.0,642884.0
6,16,4,1,3069.0,14833.0,3761120.0,1137933.0,1210508.0
7,16,4,1,3551.0,16779.0,4330801.0,1206522.0,607863.0
8,16,4,1,2996.0,13649.0,3716626.0,1255579.0,706179.0
9,16,4,1,3619.0,17258.0,3800538.0,1162663.0,708768.0
0,16,5,1,3952.0,19229.0,4288656.0,1481751.0,724588.0
1,16,5,1,3516.0,17785.0,4656114.0,1554443.0,1610733.0
2,16,5,1,2949.0,15185.0,4125599.0,1394958.0,696732.0
3,16,5,1,3892.0,17015.0,4408766.0,1512925.0,738775.0
4,16,5,1,2956.0,16377.0,4467873.0,1380520.0,650446.0
5,16,5,1,3728.0,16763.0,4350551.0,1463071.0,778364.0
6,16,5,1,3486.0,17387.0,4645001.0,1436336.0,724745.0
7,16,5,1,3948.0,19213.0,4604067.0,1280279.0,657610.0
8,16,5,1,5636.0,19089.0,4179688.0,1319304.0,632870.0
9,16,5,1,2877.0,14701.0,4213020.0,1232590.0,701540.0
0,16,6,1,2872.0,15967.0,4153714.0,1269659.0,697232.0
1,16,6,1,2968.0,16257.0,4349673.0,1481506.0,722227.0
2,16,6,1,2980.0,15629.0,4215889.0,1307693.0,684974.0
3,16,6,1,2886.0,15718.0,4102325.0,1294420.0,1365022.0
4,16,6,1,2938.0,15742.0,4063653.0,1408614.0,677437.0
5,16,6,1,2910.0,15443.0,4054969.0,1328662.0,719012.0
6,16,6,1,5726.0,31441.0,4612631.0,1389214.0,1354913.0
7,16,6,1,2897.0,15569.0,4270445.0,1266738.0,671589.0
8,16,6,1,2979.0,16140.0,4060414.0,1266834.0,686507.0
9,16,6,1,3056.0,16134.0,4025791.0,1303775.0,662407.0
0,16,7,1,2815.0,18457.0,4906929.0,1586506.0,1556993.0
1,16,7,1,3094.0,18859.0,5282543.0,1827811.0,773494.0
2,16,7,1,2919.0,19206.0,4727875.0,1619071.0,888316.0
3,16,7,1,2957.0,18373.0,4748607.0,1489900.0,812144.0
4,16,7,1,3110.0,20079.0,4887829.0,1694009.0,884120.0
5,16,7,1,3020.0,18932.0,5062367.0,1527412.0,779972.0
6,16,7,1,2807.0,18543.0,4686438.0,1517891.0,767022.0
7,16,7,1,2915.0,18889.0,4724737.0,1665314.0,784336.0
8,16,7,1,3589.0,33811.0,5166956.0,1567430.0,790424.0
9,16,7,1,2983.0,18377.0,4779356.0,1616504.0,864542.0
0,16,8,1,3187.0,67984.0,16252676.0,4991960.0,2793956.0
1,16,8,1,3130.0,68486.0,17053227.0,4005089.0,2437759.0
2,16,8,1,3041.0,70420.0,16263621.0,4230990.0,2274999.0
3,16,8,1,3013.0,64473.0,16580672.0,4018547.0,2289436.0
4,16,8,1,3092.0,64593.0,16161178.0,4094814.0,2262231.0
5,16,8,1,3269.0,65455.0,15285103.0,3837694.0,2202242.0
6,16,8,1,3101.0,63663.0,15713051.0,3924656.0,2216938.0
7,16,8,1,3113.0,64720.0,15473394.0,4082559.0,2259747.0
8,16,8,1,3045.0,70493.0,15436686.0,4475194.0,2283366.0
9,16,8,1,3040.0,64354.0,15322457.0,4043690.0,4537793.0
0,32,0,1,5750.0,18282.0,4824457.0,1550986.0,1254213.0
1,32,0,1,5752.0,17826.0,4473344.0,1496257.0,1211864.0
2,32,0,1,5576.0,17989.0,4635543.0,1505518.0,1258704.0
3,32,0,1,5695.0,17767.0,4492099.0,1502054.0,1212402.0
4,32,0,1,5690.0,17676.0,4455847.0,1736281.0,1210311.0
5,32,0,1,6708.0,23012.0,4611463.0,1455473.0,2500834.0
6,32,0,1,6146.0,18211.0,4489584.0,1493974.0,1215867.0
7,32,0,1,6363.0,22206.0,5017605.0,1706709.0,1370274.0
8,32,0,1,5886.0,18624.0,4630452.0,1980054.0,1298146.0
9,32,0,1,6739.0,22919.0,4980832.0,1731636.0,2720082.0
0,32,1,1,6050.0,19190.0,4944118.0,1956728.0,1367404.0
1,32,1,1,5616.0,19704.0,4837736.0,1676564.0,1322124.0
2,32,1,1,5792.0,18701.0,4739539.0,1597773.0,1255717.0
3,32,1,1,6094.0,19491.0,4779975.0,1648267.0,1377866.0
4,32,1,1,13353.0,57352.0,5126807.0,1682884.0,2565043.0
5,32,1,1,5530.0,19099.0,4696075.0,1621352.0,2597362.0
6,32,1,1,6389.0,20473.0,4937201.0,1728380.0,1422076.0
7,32,1,1,6204.0,18862.0,4790600.0,1725823.0,1300252.0
8,32,1,1,5623.0,18176.0,4760706.0,1686871.0,1328182.0
9,32,1,1,6062.0,19542.0,4818400.0,1623873.0,1254655.0
0,32,2,1,5684.0,19136.0,4793157.0,1690706.0,2600627.0
1,32,2,1,5786.0,19352.0,5012950.0,1725763.0,1330090.0
2,32,2,1,5745.0,19370.0,4865739.0,1668990.0,2753112.0
3,32,2,1,5609.0,19861.0,4886085.0,1640718.0,1321704.0
4,32,2,1,6026.0,19753.0,4964277.0,1704449.0,1371956.0
5,32,2,1,7099.0,20111.0,4934670.0,1745696.0,1309161.0
6,32,2,1,5863.0,19569.0,4896390.0,1664513.0,1335552.0
7,32,2,1,5794.0,19788.0,4871855.0,1702288.0,1286702.0
8,32,2,1,5527.0,18912.0,4746547.0,1705692.0,1288815.0
9,32,2,1,5678.0,18758.0,4747120.0,1698770.0,1326366.0
0,32,3,1,6724.0,35565.0,5157391.0,1800352.0,2826507.0
1,32,3,1,5697.0,19842.0,5169064.0,1704204.0,1373283.0
2,32,3,1,5708.0,19780.0,5026248.0,1751861.0,1362795.0
3,32,3,1,5660.0,19926.0,5161630.0,2022293.0,1461128.0
4,32,3,1,7189.0,23403.0,5216683.0,1786199.0,1447496.0
5,32,3,1,5580.0,20068.0,5037336.0,1655054.0,1362486.0
6,32,3,1,5728.0,20236.0,5174586.0,1802608.0,1362625.0
7,32,3,1,5682.0,20324.0,5126779.0,1706157.0,1377768.0
8,32,3,1,6349.0,22949.0,5060610.0,1654072.0,1385808.0
9,32,3,1,5678.0,19636.0,5049013.0,1914369.0,70025588.0
0,32,4,1,6362.0,22034.0,5380704.0,1767044.0,2893689.0
1,32,4,1,5987.0,21973.0,5407958.0,1807513.0,3113908.0
2,32,4,1,5511.0,20844.0,5328844.0,1881363.0,1465515.0
3,32,4,1,5746.0,21180.0,5435585.0,1790529.0,1471729.0
4,32,4,1,6223.0,22105.0,5559706.0,1880889.0,1425831.0
5,32,4,1,6021.0,22707.0,5818188.0,1782864.0,1474910.0
6,32,4,1,5671.0,21018.0,5337336.0,1857017.0,1418359.0
7,32,4,1,5652.0,20892.0,5269967.0,1720778.0,1416719.0
8,32,4,1,5679.0,20903.0,5447718.0,1945539.0,1508535.0
9,32,4,1,5560.0,21131.0,5429151.0,1895805.0,4245475.0
0,32,5,1,5814.0,23020.0,5848931.0,2017807.0,1634182.0
1,32,5,1,5795.0,22975.0,5706967.0,1813738.0,1535943.0
2,32,5,1,6246.0,23840.0,5833092.0,2062040.0,3097612.0
3,32,5,1,5667.0,22595.0,5816406.0,1985711.0,1548337.0
4,32,5,1,7357.0,23790.0,5854757.0,1923997.0,1571437.0
